nation,season,players_n,rows_n,minutes_total,matches_total,goals_total,xg_total,np_goals_total,np_xg_total,assists_total,xa_total,shots_total,key_passes_total,xgchain_total,xgbuildup_total,xg_plus_xa_total,npg_plus_xa_total,yellow_cards_total,red_cards_total,market_value_total,market_value_top5_sum,market_value_top3_sum,market_value_top1,market_value_hhi,caps_total,international_goals_total,top1_xg,top3_xg,top5_xg,top1_np_xg,top3_np_xg,top5_np_xg,top1_xg_share,top3_xg_share,top5_xg_share,top1_np_xg_share,top3_np_xg_share,top5_np_xg_share,xg_hhi,np_xg_hhi,players_over_1000_min,players_over_500_min,players_over_250_min,players_xg_gt_1,players_xg_gt_3,players_xg_gt_5,goalkeeper_minutes,defender_minutes,midfield_minutes,attack_minutes,age_mean,age_sd,age_min,age_max,market_value_mean,market_value_sd,caps_mean,caps_sd,international_goals_mean,international_goals_sd,xg_per90_weighted,xa_per90_weighted,shots_per90_weighted,key_passes_per90_weighted,xgchain_per90_weighted,xgbuildup_per90_weighted,goals_per90_weighted,assists_per90_weighted,season_num,minutes_per_player,goals_minus_xg,goals_minus_np_xg,xg_per90,np_xg_per90,xa_per90,shots_per90,key_passes_per90,xgchain_per90,xgbuildup_per90,goals_per90,assists_per90,xg_per_shot,np_xg_per_shot,attack_minutes_share,midfield_minutes_share,defender_minutes_share,goalkeeper_minutes_share,attack_depth_index
Brazil,2526,63,63,60605,940,114,121.82620287872851,105,114.30384057946503,71,84.23468362074345,1017,691,326.77790769189596,193.05268801702186,206.06088649947196,84.23468362074345,134,7,1525300000,455000000,310000000,150000000,0.03313521668135106,1096,138,9.973474495112896,26.472449300810695,38.916115765459836,9.202775344252586,22.756061187013984,35.199727651663125,0.08186641510152753,0.21729684316897413,0.319439618455471,0.08051151472775524,0.19908395966095094,0.307948774714984,0.04100299436276849,0.039972491689458794,31,45,46,30,17,8,8293,17366,12211,22735,26.992049934846467,4.011939228462552,18.972602739726028,34.843835616438355,31450070.126227207,25451155.69409127,20.007326128207243,22.284480121274395,2.1830212028710503,4.420834627289662,0.18091507728876438,0.12509069426395364,1.5102714297500206,1.0261529576767594,0.48527368521195674,0.2866882587498056,0.16929296262684598,0.10543684514479003,2526,961.984126984127,-7.826202878728509,-0.3038405794650316,0.1809150772887644,0.16974417378354678,0.12509069426395364,1.5102714297500208,1.0261529576767594,0.4852736852119567,0.2866882587498056,0.16929296262684596,0.10543684514479003,0.11978977667524927,0.11239315691196168,0.3751340648461348,0.20148502598795479,0.28654401452025413,0.1368368946456563,0.7142857142857143
Colombia,2122,22,22,29299,468,58,58.82636620244011,51,52.790085138287395,34,35.71095401793718,477,326,121.45322808576748,60.228510490152985,94.5373202203773,35.71095401793718,58,3,116300000,100000000,94000000,70000000,0.3921958879731829,883,110,15.456983227282764,31.37227196712047,42.119857982732356,13.173129219561815,25.42448876518756,36.08357691857964,0.262756043337615,0.5333029046730265,0.7160030561429651,0.2495379423059058,0.4816148467763653,0.6835294321662133,0.1343367483633092,0.12418575799460745,13,17,21,11,6,4,6082,10140,4533,8544,33.35061358398786,5.223860904811794,20.26027397260274,40.172602739726024,4583089.866548346,14944207.205614123,47.27785931260453,39.94316850171891,4.109287006382471,9.050124966251124,0.18070149009248132,0.10969609411974286,1.4652377214239394,1.0013993651660467,0.3730772561424988,0.18500856493783982,0.178163077238131,0.10444042458786988,2122,1331.7727272727273,-0.8263662024401128,5.209914861712605,0.1807014900924813,0.16215937958448634,0.10969609411974286,1.4652377214239394,1.0013993651660467,0.3730772561424988,0.1850085649378398,0.178163077238131,0.1044404245878699,0.12332571530909876,0.11067103802575974,0.2916140482610328,0.15471517799242296,0.3460868971637257,0.20758387658281852,0.7727272727272727
Uzbekistan,2324,2,2,1743,33,3,3.4818245116621256,3,3.4818245116621256,3,2.0265136547386646,26,11,7.372935608960688,2.784048371016979,5.50833816640079,2.0265136547386646,5,0,42000000,42000000,42000000,35000000,0.7222222222222223,113,44,3.2875718157738447,3.4818245116621256,3.4818245116621256,3.2875718157738447,3.4818245116621256,3.4818245116621256,0.9442095099171008,1,1,0.9442095099171008,1,1,0.8946441774015819,0.8946441774015819,0,2,2,1,1,0,0,819,0,924,26.717346096715627,6.13148756837102,22.12054794520548,30.791780821917808,20156626.506024096,19798989.87322333,58.45783132530121,45.96194077712559,23.325301204819276,31.11269837220809,0.17978439819253658,0.10463925928082599,1.342512908777969,0.567986230636833,0.38070235502378763,0.14375464910586805,0.1549053356282272,0.1549053356282272,2324,871.5,-0.4818245116621256,-0.4818245116621256,0.1797843981925366,0.1797843981925366,0.10463925928082606,1.342512908777969,0.5679862306368331,0.38070235502378763,0.14375464910586813,0.1549053356282272,0.1549053356282272,0.1339163273716202,0.1339163273716202,0.5301204819277109,0,0.46987951807228917,0,1
Senegal,2425,26,26,39529,603,73,78.79527811799198,68,74.99265509936959,38,45.34696902241558,541,320,193.27291706670076,107.4610956646502,124.14224714040756,45.34696902241558,85,5,458100000,200000000,130000000,50000000,0.0682164751278272,693,72,13.8340708874166,33.83836350031197,47.832576708868146,13.8340708874166,33.83836350031197,46.3102390486747,0.17556979577761972,0.429446590056332,0.6070487705778671,0.1844723442460553,0.45122236911700475,0.6175303299677944,0.09482836122577129,0.09907366970015781,16,20,23,17,9,5,3060,5983,17433,13053,26.73895135771657,4.193238604064568,18.21917808219178,36.54794520547945,21295810.14067402,15707463.194290796,33.94082825267525,28.604814011200713,3.913961901388854,3.983040971998076,0.17940183234130078,0.10324640673979613,1.231753902198386,0.7285790179361987,0.4400456003441288,0.24466843608030855,0.16620708846669532,0.0865187583799236,2425,1520.3461538461538,-5.795278117991984,-1.9926550993695855,0.17940183234130078,0.17074398438977112,0.10324640673979614,1.2317539021983859,0.7285790179361987,0.4400456003441288,0.2446684360803086,0.16620708846669535,0.0865187583799236,0.1456474641737375,0.13861858613561845,0.33021326115004174,0.4410179867945053,0.15135723139973184,0.07741152065572111,0.7692307692307693
Japan,2425,21,21,33950,514,68,67.59799050353467,66,66.08243715576828,24,46.14201624318957,524,371,186.15576405264437,98.17546476237476,113.74000674672425,46.14201624318957,40,3,220000000,120000000,80000000,30000000,0.08166280991735536,674,120,10.222694747149944,29.212153546512127,45.52085460629314,10.222694747149944,29.212153546512127,44.00530125852674,0.15122779051568705,0.43214529498454,0.6734054410080855,0.15469609153568598,0.44205623769071634,0.6659152288042627,0.11006786922335185,0.10997187503663006,13,16,17,10,8,6,3319,6166,4804,19661,27.57482736498073,3.166067071084144,22.057534246575344,33.175342465753424,14317210.73630758,8980915.438042114,35.40344624447717,23.553990663802097,7.191016200294551,6.443158054423756,0.17919938572365599,0.12232051434129781,1.389101620029455,0.9835051546391752,0.49349097981555207,0.2602589640239684,0.18026509572901325,0.06362297496318113,2425,1616.6666666666667,0.40200949646532536,1.9175628442317247,0.17919938572365599,0.17518171852780987,0.12232051434129783,1.389101620029455,0.9835051546391753,0.49349097981555207,0.2602589640239684,0.18026509572901325,0.06362297496318114,0.1290037986708677,0.12611152128963413,0.5791163475699558,0.1415022091310751,0.181620029455081,0.09776141384388808,0.7619047619047619
Tunisia,2425,5,5,5380,103,11,10.623594775795937,11,10.623594775795937,7,6.907911144196987,80,67,33.04801508039236,20.07043055910617,17.531505919992924,6.907911144196987,15,1,8500000,8500000,8500000,6000000,0.5847750865051904,204,21,4.895776592195034,9.193924613296986,10.623594775795937,4.895776592195034,9.193924613296986,10.623594775795937,0.46083992241018384,0.865425009832245,1,0.46083992241018384,0.865425009832245,1,0.31140668730755156,0.31140668730755156,2,3,5,4,1,0,0,1860,2614,906,30.16501145796201,2.697295129073443,26.295890410958904,32.31506849315068,4649794.801641587,2474873.7341529164,51.40111524163569,29.9115362360411,4.489033457249071,2.949576240750525,0.17771812821963462,0.1155598518545964,1.338289962825279,1.120817843866171,0.5528478359173443,0.33575069708541916,0.18401486988847585,0.1171003717472119,2425,1076,0.3764052242040634,0.3764052242040634,0.17771812821963462,0.17771812821963462,0.11555985185459644,1.3382899628252787,1.120817843866171,0.5528478359173443,0.3357506970854192,0.18401486988847585,0.11710037174721188,0.1327949346974492,0.1327949346974492,0.16840148698884758,0.48587360594795537,0.34572490706319703,0,0.6
Japan,2324,16,16,24361,349,48,48.01374633144587,48,48.01374633144587,31,41.91276599094272,429,336,139.6232330687344,74.3537818538025,89.92651232238859,41.91276599094272,45,1,156500000,105000000,75000000,30000000,0.11466606783778542,595,106,9.964158710092306,22.62839003186673,32.72026120405644,9.964158710092306,22.62839003186673,32.72026120405644,0.20752720775646769,0.4712898234530516,0.6814769457518212,0.20752720775646769,0.4712898234530516,0.6814769457518212,0.12008264087550047,0.12008264087550047,13,14,14,10,7,5,1252,5537,3272,14300,29.173618735987738,3.148454958310093,20.92876712328767,33.175342465753424,11973790.074299084,9229172.498117045,46.290423217437706,24.655543663308936,8.666310906777225,7.079312584330958,0.17738340666762972,0.15484376417983023,1.5849103074586428,1.241328352694881,0.515828208045076,0.27469481412266433,0.17733262181355441,0.11452731825458722,2324,1522.5625,-0.013746331445872784,-0.013746331445872784,0.17738340666762978,0.17738340666762978,0.15484376417983026,1.5849103074586428,1.2413283526948813,0.515828208045076,0.27469481412266433,0.17733262181355444,0.11452731825458726,0.11192015461875494,0.11192015461875494,0.5870038175772752,0.13431304133656255,0.22728952013464143,0.05139362095152088,0.875
Sweden,2324,25,25,28876,460,53,56.77437207615003,48,51.44958213483915,25,33.12987003289163,411,258,139.7679447461851,74.74649154860526,89.90424210904166,33.12987003289163,55,1,321350000,229000000,175000000,100000000,0.14864082935087258,625,67,22.07426631450653,34.682862032204866,41.00116163492203,17.507253035902977,30.115848753601313,36.434148356318474,0.38880687724557966,0.6108893989296019,0.7221772806210557,0.34027979061170877,0.585346809516813,0.7081524639176232,0.19091555825504772,0.16347356795285878,11,16,22,11,4,3,398,9579,9618,9281,27.377023342131775,4.207982685753998,20.06027397260274,36.26301369863014,21373001.800803434,21620673.555650387,27.30038786535531,26.63174797117155,3.1086369303227595,5.11305518582905,0.17695295355497653,0.10325835652307266,1.280994597589694,0.8041279955672531,0.43562526067172247,0.23296800939792467,0.16518908436071478,0.0779193794154315,2324,1155.04,-3.77437207615003,1.5504178651608527,0.17695295355497653,0.16035678044519752,0.10325835652307268,1.280994597589694,0.804127995567253,0.43562526067172247,0.2329680093979247,0.16518908436071478,0.0779193794154315,0.13813715833613147,0.12518146504827043,0.321408782379831,0.3330793738744979,0.3317287712979637,0.01378307244770744,0.64
Uruguay,2425,15,15,19163,324,39,37.56188221555203,33,33.10221648495644,17,15.932350902818143,285,144,102.23410523310304,68.19489429425448,53.494233118370175,15.932350902818143,70,0,290300000,217000000,175000000,120000000,0.20798076846632224,465,45,9.48172677308321,25.10742715932429,30.72047065757215,7.251893870532513,20.6477614287287,26.26080492697656,0.2524294900524825,0.6684283555132621,0.8178629196822496,0.21907577922548455,0.6237576700675689,0.7933246687245546,0.16758193697792087,0.15080029626325528,8,11,11,10,4,3,0,6699,10204,2260,28.522767690876908,4.021128179842829,24.164383561643834,39.50410958904109,31294807.702343058,29165925.976989623,36.627406982205294,25.363077776281692,3.298544069300214,3.946064947695181,0.17641128212699902,0.0748270929005705,1.3385169336742682,0.6763032928038407,0.480147652819458,0.32028077474732053,0.18316547513437353,0.07984136095600894,2425,1277.5333333333333,1.438117784447968,5.897783515043557,0.17641128212699902,0.1554662361658446,0.07482709290057052,1.3385169336742682,0.6763032928038407,0.480147652819458,0.32028077474732053,0.18316547513437353,0.07984136095600898,0.13179607794930537,0.11614812801739102,0.1179356050722747,0.5324844752909252,0.3495799196368001,0,0.7333333333333333
England,2425,136,136,204636,3092,354,399.41593746328726,320,366.0012966715731,276,293.7276123552583,3066,2255,1055.7673060810193,600.5284585179761,693.1435498185456,293.7276123552583,398,12,3341850000,570000000,380000000,140000000,0.015107152157607655,2322,350,24.83850298821926,62.75372830405831,91.61210905015469,18.018512774258852,47.5705438144505,71.40115522220731,0.062187060301023465,0.15711373137138873,0.22936518164995684,0.04923073480372817,0.1299737029542203,0.19508443240920617,0.023136235618647066,0.02064754550215066,87,105,118,75,39,25,15678,71874,61090,55994,27.6524743031864,4.779727839964218,18.673972602739727,40.273972602739725,31859974.54015911,25327298.857200723,17.045490529525598,21.070475166623005,2.718676088273813,7.39332266599889,0.17566525133258984,0.12918296444405308,1.3484430891925174,0.9917609804726442,0.46433207034584206,0.2641156065727333,0.1556910807482554,0.12138626634609746,2425,1504.6764705882354,-45.415937463287264,-12.001296671573073,0.17566525133258984,0.16096931478548043,0.12918296444405308,1.3484430891925174,0.9917609804726442,0.4643320703458421,0.26411560657273325,0.15569108074825544,0.12138626634609746,0.1302726475744577,0.11937419982764941,0.27362731875134383,0.29853007290994743,0.3512285228405559,0.07661408549815282,0.7720588235294118
Morocco,2526,33,33,24263,458,44,47.05694172531366,42,44.776656307280064,33,33.20654116757214,424,266,120.7534477962181,66.74043250083923,80.2634828928858,33.20654116757214,72,5,444450000,202000000,147000000,80000000,0.06826789032332505,660,76,6.765151135623455,17.463646007701755,25.429236568510532,6.765151135623455,15.943455709144473,23.148951150476933,0.14376521056369948,0.3711173180280735,0.5403928864937521,0.1510865637040329,0.35606624129618825,0.5169870432400562,0.07617970973818688,0.07332279234771306,9,22,27,15,5,2,0,7268,6189,10806,25.736924422382803,4.101638263264796,19.994520547945207,39.19178082191781,16328755.718583852,15308717.99305576,22.01524955693855,23.83012798958495,2.381032848369946,4.179450087069235,0.17455074620938177,0.12317473952444019,1.5727651156081277,0.9866875489428347,0.44791700538513907,0.24756373593848785,0.1632114742612208,0.12240860569591559,2526,735.2424242424242,-3.0569417253136635,-0.7766563072800636,0.17455074620938177,0.16609236564543567,0.1231747395244402,1.5727651156081277,0.9866875489428347,0.447917005385139,0.24756373593848785,0.1632114742612208,0.12240860569591559,0.11098335312573977,0.1056053214794341,0.44536949264311915,0.2550797510612867,0.29955075629559413,0,0.6666666666666666
Morocco,2122,22,22,23119,390,45,44.46468737581745,41,41.441125445533544,34,32.219825194217265,364,296,118.5745672788471,65.37882043980062,76.68451257003471,32.219825194217265,54,2,265100000,185000000,145000000,80000000,0.14353351781019408,736,81,7.818864861968905,19.433127449359745,26.765289707574993,6.074792321771383,16.40956551907584,23.74172777729109,0.17584436827101746,0.43704630789619897,0.6019448530325563,0.14658849769308363,0.39597296990988057,0.5729025822065344,0.09935287844353968,0.09106363190102111,11,15,17,13,4,2,448,6749,6748,9174,28.836749823871372,3.9829457035646185,21.994520547945207,36.92876712328767,19829839.295442164,18600154.92295413,41.37575154634716,30.68383671410463,5.708248626670704,6.175114139190841,0.17309666784132402,0.12542862007351327,1.417016306933691,1.1522989748691552,0.4615991632465175,0.2545133370639758,0.17518058739564857,0.13235866603226779,2122,1050.8636363636363,0.5353126241825521,3.558874554466456,0.17309666784132405,0.16132623773078503,0.1254286200735133,1.417016306933691,1.1522989748691552,0.4615991632465175,0.2545133370639758,0.1751805873956486,0.13235866603226784,0.12215573454894903,0.11384924572948776,0.3968164713006618,0.2918811367273671,0.2919243911933907,0.019378000778580387,0.6818181818181818
