game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,home_wc,away_wc
4238573,COPA,2025,Group D,2024-06-29,3581,3439,1,4,,,Daniel Garnero,Dorival Júnior,Allegiant Stadium,46939.0,Piero Maza,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4238573,4-2-3-1,4-2-3-1,Paraguay,Brazil,1:4,national_team_competition,Paraguay,Brazil
4238574,COPA,2025,Group B,2024-07-01,6303,5750,0,0,,,Jaime Lozano,Félix Sánchez,State Farm Stadium,62565.0,Mario Escobar,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4238574,4-3-3 Attacking,4-4-2 double 6,Mexico,Ecuador,0:0,national_team_competition,Mexico,Ecuador
4238576,COPA,2025,Group D,2024-07-03,3439,3816,1,1,,,Dorival Júnior,Néstor Lorenzo,Levi's Stadium,70971.0,Jesús Valenzuela,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4238576,,,Brazil,Colombia,1:1,national_team_competition,Brazil,Colombia
4238577,COPA,2025,Group C,2024-07-02,3505,3449,0,1,,,Gregg Berhalter,Pablo Quiroga,GEHA Field at Arrowhead Stadium,55460.0,Kevin Ortega,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4238577,4-4-2 double 6,4-2-3-1,United States,Uruguay,0:1,national_team_competition,United States,Uruguay
4274562,AFAC,2025,Round of 16,2024-01-29,3560,15737,2,3,,,Jesús Casas,Hussein Ammouta,Khalifa International Stadium,35814.0,Alireza Faghani,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4274562,4-2-3-1,3-4-3,Iraq,Jordan,2:3,national_team_competition,Iraq,Jordan
4274565,AFAC,2025,Round of 16,2024-01-30,3807,3589,3,5,,,Roberto Mancini,Jürgen Klinsmann,Education City Stadium,42389.0,Ilgiz Tantashev,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4274565,5-3-2,3-4-2-1,Saudi Arabia,South Korea,3:5,national_team_competition,Saudi Arabia,South Korea
4280470,AFAC,2025,Quarter-Finals,2024-02-02,3433,3589,1,2,,,Graham Arnold,Jürgen Klinsmann,Al-Janoub Stadium,39632.0,Ahmed Al-Kaf,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4280470,4-3-3 Attacking,4-2-3-1,Australia,South Korea,1:2,national_team_competition,Australia,South Korea
4280471,AFAC,2025,Quarter-Finals,2024-02-03,3582,3435,2,1,,,Amir Ghalenoei,Hajime Moriyasu,Education City Stadium,35640.0,Ning Ma,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4280471,4-2-3-1,4-2-3-1,Iran,Japan,2:1,national_team_competition,Iran,Japan
4280472,AFAC,2025,Quarter-Finals,2024-02-03,14162,3563,4,3,,,Tintín Márquez,Srecko Katanec,Khalifa International Stadium,58791.0,Hee-gon Kim,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4280472,5-3-2,3-4-3,Qatar,Uzbekistan,4:3,national_team_competition,Qatar,Uzbekistan
4281997,AFAC,2025,Semi-Finals,2024-02-06,15737,3589,2,0,,,Hussein Ammouta,Jürgen Klinsmann,Ahmad bin Ali Stadium,42850.0,Mohamed Abdulla Hassan,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4281997,3-4-3,4-3-3 Attacking,Jordan,South Korea,2:0,national_team_competition,Jordan,South Korea
4282477,AFAC,2025,Semi-Finals,2024-02-07,3582,14162,2,3,,,Amir Ghalenoei,Tintín Márquez,Al-Thumama Stadium,40342.0,Ahmad Al-Ali KUW,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4282477,4-2-3-1,4-4-2 double 6,Iran,Qatar,2:3,national_team_competition,Iran,Qatar
4283905,AFAC,2025,Final,2024-02-10,15737,14162,1,3,,,Hussein Ammouta,Tintín Márquez,Lusail Stadium,86492.0,Ning Ma,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4283905,3-4-3,4-2-3-1,Jordan,Qatar,1:3,national_team_competition,Jordan,Qatar
4318070,COPA,2025,Group A,2024-06-21,3437,3510,2,0,,,Lionel Scaloni,Jesse Marsch,Mercedes-Benz Stadium,70564.0,Jesús Valenzuela,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4318070,4-4-2,4-4-2,Argentina,Canada,2:0,national_team_competition,Argentina,Canada
4359335,EURO,2023,Round of 16,2024-07-02,3383,3381,1,2,,,Ralf Rangnick,Vincenzo Montella,Red Bull Arena,38305.0,Artur Soares Dias,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359335,,,Austria,Turkiye,1:2,national_team_competition,Austria,Türkiye
4359336,EURO,2023,Quarter-Finals,2024-07-05,3375,3262,2,1,,,Luis de la Fuente,Julian Nagelsmann,MHPArena Stuttgart,54000.0,Anthony Taylor,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359336,,,Spain,Germany,2:1,national_team_competition,Spain,Germany
4359337,EURO,2023,Quarter-Finals,2024-07-05,3300,3377,3,5,,,Roberto Martínez,Didier Deschamps,Volksparkstadion,47789.0,Michael Oliver,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359337,,,Portugal,France,3:5,national_team_competition,Portugal,France
4359338,EURO,2023,Quarter-Finals,2024-07-06,3299,3384,6,4,,,Gareth Southgate,Murat Yakin,MERKUR SPIEL-ARENA,46907.0,Daniele Orsato,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359338,,,England,Switzerland,6:4,national_team_competition,England,Switzerland
4359339,EURO,2023,Quarter-Finals,2024-07-06,3379,3381,2,1,,,Ronald Koeman,Vincenzo Montella,Olympiastadion Berlin,70091.0,Clément Turpin,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359339,,,Netherlands,Turkiye,2:1,national_team_competition,Netherlands,Türkiye
4359340,EURO,2023,Semi-Finals,2024-07-09,3375,3377,2,1,,,Luis de la Fuente,Didier Deschamps,Allianz Arena,62042.0,Slavko Vincic,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4359340,,,Spain,France,2:1,national_team_competition,Spain,France
