match_number,stage,team_a_slot,team_b_slot,team_a,team_b,lambda_a,lambda_b,reg_goals_a,reg_goals_b,et_goals_a,et_goals_b,penalty_goals_a,penalty_goals_b,penalty_prob_a,penalty_prob_b,penalty_rounds,resolution,winner,loser,winner_slot,loser_slot,decision_rule,model_name,score_model_name,winner_model_name,history_scope,sim_id
86,round_of_32,1J,2H,Jordan,Uruguay,0.3846997004506676,2.3612924774659327,0,2,0,0,0,0,NA,NA,0,regular,Uruguay,Jordan,W86,L86,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
87,round_of_32,1K,3DEIJL,Colombia,France,0.8810946759008652,2.2316519515239457,1,2,0,0,0,0,NA,NA,0,regular,France,Colombia,W87,L87,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
88,round_of_32,2D,2G,United States,Egypt,1.3510576838674044,0.6809117148889046,1,1,0,0,3,5,0.7625770609491335,0.7374229390508665,5,penalties,Egypt,United States,W88,L88,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
89,round_of_16,W74,W77,New Zealand,Argentina,0.5080852650989603,3.501444573260189,1,4,0,0,0,0,NA,NA,0,regular,Argentina,New Zealand,W89,L89,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
90,round_of_16,W73,W75,Bosnia-Herzegovina,Japan,1.378528306252181,1.7206612670898886,1,2,0,0,0,0,NA,NA,0,regular,Japan,Bosnia-Herzegovina,W90,L90,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
91,round_of_16,W76,W78,Brazil,Norway,2.115050446253882,1.0580440891239682,2,1,0,0,0,0,NA,NA,0,regular,Brazil,Norway,W91,L91,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
92,round_of_16,W79,W80,South Africa,Panama,0.9730659464533008,1.1219793779903697,1,1,0,0,4,1,0.7470314772071195,0.7529685227928805,5,penalties,South Africa,Panama,W92,L92,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
93,round_of_16,W83,W84,England,Spain,1.9316483843169212,2.1948311952718544,2,2,1,1,3,5,0.7447896999201461,0.7552103000798539,5,penalties,Spain,England,W93,L93,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
94,round_of_16,W81,W82,"Korea, South",Croatia,0.5360622078401025,2.3528423471563213,1,2,0,0,0,0,NA,NA,0,regular,Croatia,"Korea, South",W94,L94,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
95,round_of_16,W86,W88,Uruguay,Egypt,1.6752524586731832,1.1138096816782146,2,1,0,0,0,0,NA,NA,0,regular,Uruguay,Egypt,W95,L95,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
96,round_of_16,W85,W87,Canada,France,0.5669853493901466,4.054069947405526,1,4,0,0,0,0,NA,NA,0,regular,France,Canada,W96,L96,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
97,quarter_final,W89,W90,Argentina,Japan,1.9643095001495567,0.9801044304896763,2,1,0,0,0,0,NA,NA,0,regular,Argentina,Japan,W97,L97,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
98,quarter_final,W93,W94,Spain,Croatia,1.6984118061559588,1.519262499142969,2,2,1,1,4,3,0.7535660466287226,0.7464339533712774,5,penalties,Spain,Croatia,W98,L98,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
99,quarter_final,W91,W92,Brazil,South Africa,2.8798133999202777,0.3920266730669178,3,0,0,0,0,0,NA,NA,0,regular,Brazil,South Africa,W99,L99,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
100,quarter_final,W95,W96,Uruguay,France,0.8901200458511646,2.6876051609562452,1,3,0,0,0,0,NA,NA,0,regular,France,Uruguay,W100,L100,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
101,semi_final,W97,W98,Argentina,Spain,3.3391233685877393,2.71122721804374,3,3,1,1,2,5,0.7618724456370526,0.7381275543629474,5,penalties,Spain,Argentina,W101,L101,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
102,semi_final,W99,W100,Brazil,France,1.3981388330033453,2.206398264094059,1,2,0,0,0,0,NA,NA,0,regular,France,Brazil,W102,L102,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
103,bronze_final,L101,L102,Argentina,Brazil,0.7008302737014807,1.1992254699511256,1,1,0,0,3,5,0.7403834060551254,0.7596165939448746,5,penalties,Brazil,Argentina,W103,L103,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
104,final,W101,W102,Spain,France,0.8196617026470604,1.3310881493768099,1,1,0,0,6,7,0.7401502166421726,0.7598497833578274,7,penalties,France,Spain,W104,L104,most_probable,rand_forest,score_poisson_glm,rand_forest,full_history_80_20,0
