group,place,team_name,team_model,team_code,strength_score,xg_per90_weighted,np_xg_per90,xa_per90_weighted,shots_per90_weighted,key_passes_per90_weighted,attack_depth_index,caps_mean,market_value_mean,feature_source
C,3,Scotland,Scotland,SCO,0.08804842980714281,0.1617959022264445,0.16179590222644305,0.09932174635808082,1.542358989643077,0.9388272110871444,0.7499999999999716,38.22718128306675,15128380.895611018,observed
C,4,Haiti,Haiti,HAI,-0.6015953285287324,0.07784218249961514,0.06219163004567657,0.07149371843308372,1.0295126973232105,0.6588881262869748,1,26.06268588423573,5664584.763212196,observed
D,1,Paraguay,Paraguay,PAR,0.4567682205811901,0.2193630088619314,0.2081671954993634,0.11685451065738284,1.61171548117159,0.6928870292886999,0.999999999999897,32.25154811715529,15177661.347939491,observed
D,2,United States,United States,USA,-0.06888486634415672,0.15496725860811167,0.1497550220421897,0.1064948160853589,1.1305671869051686,0.8701941377997647,0.6521739130434978,33.40624286258054,18122725.542443264,observed
D,3,Turkiye,Turkiye,TUR,-0.07347561228525466,0.15227118040996795,0.1402239642610454,0.10560740766312011,1.1673615247170963,0.8955223880596943,0.74509803921569,26.962545934233635,15128380.895611018,imputed
D,4,Australia,Australia,AUS,-1.3250804925700526,0.03093831114517184,0.03093831114517187,0.02295374366656137,0.543806646525789,0.332326283988017,0.6666666666666132,24.47213830144761,3410775.4279955355,observed
E,1,Cote d'Ivoire,Cote d'Ivoire,CIV,-0.005226571670901951,0.1547872876466064,0.15025663264056507,0.11948359409095138,1.1673615247170963,0.9231685527099248,0.709677419354858,18.833664218119228,19099877.572628,observed
E,2,Curacao,Curacao,CUW,-0.07347561228525466,0.15227118040996795,0.1402239642610454,0.10560740766312011,1.1673615247170963,0.8955223880596943,0.74509803921569,26.962545934233635,15128380.895611018,imputed
E,3,Germany,Germany,GER,-0.17303396465879298,0.1446207150482301,0.13280564072619364,0.1028094839601329,1.084987604557564,0.8496287549535502,0.7534246575342639,14.024259210031104,16051699.813913813,observed
E,4,Ecuador,Ecuador,ECU,-0.5919202656004896,0.0583470572614277,0.05834705726142777,0.07568651446713703,0.7302510716472934,0.6338028169014361,0.5714285714286745,45.12155541947309,64563227.18922019,observed
F,1,Japan,Japan,JPN,-0.14571386250319057,0.126508620701368,0.1265086207013671,0.12403808893098954,1.1999434655611498,0.9497785734476668,0.6363636363636667,26.962545934233635,14655934.921009116,observed
F,2,Netherlands,Netherlands,NED,-0.2516972282051021,0.12383509214414525,0.12101635070707636,0.09051172569383224,1.0602893334256078,0.7724787153042055,0.7538461538461813,23.56845019727358,27567225.029417016,observed
F,3,Sweden,Sweden,SWE,-0.31077855728676934,0.13804023066134355,0.13270929448148547,0.09146083867954426,1.1205789657990235,0.7493871833781371,0.5588235294117799,18.79518306680718,21403447.336679492,observed
F,4,Tunisia,Tunisia,TUN,-0.85386658690042,0.04328385328628623,0.04328385328628628,0.06685980702884549,0.646667864199915,0.7436680438298015,0.7142857142856869,54.10131129872398,7562375.844258338,observed
G,1,Iran,Iran,IRN,1.8667168474748284,0.3831767373349429,0.2954470371486229,0.21080667250783072,1.6133162612036374,1.7285531370037426,1,100.99999999999376,2500000.0000005,observed
G,2,Egypt,Egypt,EGY,1.2185751355891268,0.2634588945042573,0.24940077930224905,0.17626845413353046,2.49333059716836,1.4221218961626458,0.6666666666667469,61.188590190853546,26859044.162130713,observed
G,3,New Zealand,New Zealand,NZL,0.9475486367368088,0.3322444427758446,0.33224444277583604,0.02801180132000988,2.57142857142836,0.48214285714295574,1,87.99999999999365,5999999.999999608,observed
G,4,Belgium,Belgium,BEL,-0.3760417062270472,0.09873961938735884,0.08938708146683949,0.1053987301165615,0.9101482416023374,0.9101482416022658,0.7346938775510321,27.337289071126182,17056875.88708412,observed
H,1,Spain,Spain,ESP,-0.14836959073007305,0.13747792510411103,0.12377278275942973,0.1081761186670322,1.1068115557911542,0.9636893718526328,0.7475247524752553,12.677749801219402,19232421.592013508,observed
H,2,Uruguay,Uruguay,URU,-0.3812964225609043,0.1404320773670665,0.11261876652925028,0.056407977183004,1.1279401282965582,0.6040627227370096,0.7647058823529337,26.878355904017553,24903088.619626153,observed
